deviceId,deviceName,deviceType,appVersion
DEV_0001,Android Phone 1,ANDROID,1.0.16
DEV_0002,iPhone 15 2,IOS,1.0.16
DEV_0003,Chrome Web 3,WEB,1.0.16
DEV_0004,Android TV 4,TV,1.0.16
DEV_0005,Android Phone 5,ANDROID,1.0.16
DEV_0006,iPhone 15 6,IOS,1.0.16
DEV_0007,Chrome Web 7,WEB,1.0.16
DEV_0008,Android TV 8,TV,1.0.16
DEV_0009,Android Phone 9,ANDROID,1.0.16
DEV_0010,iPhone 15 10,IOS,1.0.16
DEV_0011,Chrome Web 11,WEB,1.0.16
DEV_0012,Android TV 12,TV,1.0.16
DEV_0013,Android Phone 13,ANDROID,1.0.16
DEV_0014,iPhone 15 14,IOS,1.0.16
DEV_0015,Chrome Web 15,WEB,1.0.16
DEV_0016,Android TV 16,TV,1.0.16
DEV_0017,Android Phone 17,ANDROID,1.0.16
DEV_0018,iPhone 15 18,IOS,1.0.16
DEV_0019,Chrome Web 19,WEB,1.0.16
DEV_0020,Android TV 20,TV,1.0.16
DEV_0021,Android Phone 21,ANDROID,1.0.16
DEV_0022,iPhone 15 22,IOS,1.0.16
DEV_0023,Chrome Web 23,WEB,1.0.16
DEV_0024,Android TV 24,TV,1.0.16
DEV_0025,Android Phone 25,ANDROID,1.0.16
DEV_0026,iPhone 15 26,IOS,1.0.16
DEV_0027,Chrome Web 27,WEB,1.0.16
DEV_0028,Android TV 28,TV,1.0.16
DEV_0029,Android Phone 29,ANDROID,1.0.16
DEV_0030,iPhone 15 30,IOS,1.0.16
DEV_0031,Chrome Web 31,WEB,1.0.16
DEV_0032,Android TV 32,TV,1.0.16
DEV_0033,Android Phone 33,ANDROID,1.0.16
DEV_0034,iPhone 15 34,IOS,1.0.16
DEV_0035,Chrome Web 35,WEB,1.0.16
DEV_0036,Android TV 36,TV,1.0.16
DEV_0037,Android Phone 37,ANDROID,1.0.16
DEV_0038,iPhone 15 38,IOS,1.0.16
DEV_0039,Chrome Web 39,WEB,1.0.16
DEV_0040,Android TV 40,TV,1.0.16
DEV_0041,Android Phone 41,ANDROID,1.0.16
DEV_0042,iPhone 15 42,IOS,1.0.16
DEV_0043,Chrome Web 43,WEB,1.0.16
DEV_0044,Android TV 44,TV,1.0.16
DEV_0045,Android Phone 45,ANDROID,1.0.16
DEV_0046,iPhone 15 46,IOS,1.0.16
DEV_0047,Chrome Web 47,WEB,1.0.16
DEV_0048,Android TV 48,TV,1.0.16
DEV_0049,Android Phone 49,ANDROID,1.0.16
DEV_0050,iPhone 15 50,IOS,1.0.16
DEV_0051,Chrome Web 51,WEB,1.0.16
DEV_0052,Android TV 52,TV,1.0.16
DEV_0053,Android Phone 53,ANDROID,1.0.16
DEV_0054,iPhone 15 54,IOS,1.0.16
DEV_0055,Chrome Web 55,WEB,1.0.16
DEV_0056,Android TV 56,TV,1.0.16
DEV_0057,Android Phone 57,ANDROID,1.0.16
DEV_0058,iPhone 15 58,IOS,1.0.16
DEV_0059,Chrome Web 59,WEB,1.0.16
DEV_0060,Android TV 60,TV,1.0.16
DEV_0061,Android Phone 61,ANDROID,1.0.16
DEV_0062,iPhone 15 62,IOS,1.0.16
DEV_0063,Chrome Web 63,WEB,1.0.16
DEV_0064,Android TV 64,TV,1.0.16
DEV_0065,Android Phone 65,ANDROID,1.0.16
DEV_0066,iPhone 15 66,IOS,1.0.16
DEV_0067,Chrome Web 67,WEB,1.0.16
DEV_0068,Android TV 68,TV,1.0.16
DEV_0069,Android Phone 69,ANDROID,1.0.16
DEV_0070,iPhone 15 70,IOS,1.0.16
DEV_0071,Chrome Web 71,WEB,1.0.16
DEV_0072,Android TV 72,TV,1.0.16
DEV_0073,Android Phone 73,ANDROID,1.0.16
DEV_0074,iPhone 15 74,IOS,1.0.16
DEV_0075,Chrome Web 75,WEB,1.0.16
DEV_0076,Android TV 76,TV,1.0.16
DEV_0077,Android Phone 77,ANDROID,1.0.16
DEV_0078,iPhone 15 78,IOS,1.0.16
DEV_0079,Chrome Web 79,WEB,1.0.16
DEV_0080,Android TV 80,TV,1.0.16
DEV_0081,Android Phone 81,ANDROID,1.0.16
DEV_0082,iPhone 15 82,IOS,1.0.16
DEV_0083,Chrome Web 83,WEB,1.0.16
DEV_0084,Android TV 84,TV,1.0.16
DEV_0085,Android Phone 85,ANDROID,1.0.16
DEV_0086,iPhone 15 86,IOS,1.0.16
DEV_0087,Chrome Web 87,WEB,1.0.16
DEV_0088,Android TV 88,TV,1.0.16
DEV_0089,Android Phone 89,ANDROID,1.0.16
DEV_0090,iPhone 15 90,IOS,1.0.16
DEV_0091,Chrome Web 91,WEB,1.0.16
DEV_0092,Android TV 92,TV,1.0.16
DEV_0093,Android Phone 93,ANDROID,1.0.16
DEV_0094,iPhone 15 94,IOS,1.0.16
DEV_0095,Chrome Web 95,WEB,1.0.16
DEV_0096,Android TV 96,TV,1.0.16
DEV_0097,Android Phone 97,ANDROID,1.0.16
DEV_0098,iPhone 15 98,IOS,1.0.16
DEV_0099,Chrome Web 99,WEB,1.0.16
DEV_0100,Android TV 100,TV,1.0.16
DEV_0101,Android Phone 101,ANDROID,1.0.16
DEV_0102,iPhone 15 102,IOS,1.0.16
DEV_0103,Chrome Web 103,WEB,1.0.16
DEV_0104,Android TV 104,TV,1.0.16
DEV_0105,Android Phone 105,ANDROID,1.0.16
DEV_0106,iPhone 15 106,IOS,1.0.16
DEV_0107,Chrome Web 107,WEB,1.0.16
DEV_0108,Android TV 108,TV,1.0.16
DEV_0109,Android Phone 109,ANDROID,1.0.16
DEV_0110,iPhone 15 110,IOS,1.0.16
DEV_0111,Chrome Web 111,WEB,1.0.16
DEV_0112,Android TV 112,TV,1.0.16
DEV_0113,Android Phone 113,ANDROID,1.0.16
DEV_0114,iPhone 15 114,IOS,1.0.16
DEV_0115,Chrome Web 115,WEB,1.0.16
DEV_0116,Android TV 116,TV,1.0.16
DEV_0117,Android Phone 117,ANDROID,1.0.16
DEV_0118,iPhone 15 118,IOS,1.0.16
DEV_0119,Chrome Web 119,WEB,1.0.16
DEV_0120,Android TV 120,TV,1.0.16
DEV_0121,Android Phone 121,ANDROID,1.0.16
