deviceId,deviceName,deviceType,appVersion
DEV_0001,Android Phone 1,ANDROID,1.0.16
DEV_0002,iPhone 15 2,IOS,1.0.16
DEV_0003,Chrome Web 3,WEB,1.0.16
DEV_0004,Android TV 4,TV,1.0.16
DEV_0005,Android Phone 5,ANDROID,1.0.16
DEV_0006,iPhone 15 6,IOS,1.0.16
DEV_0007,Chrome Web 7,WEB,1.0.16
DEV_0008,Android TV 8,TV,1.0.16
DEV_0009,Android Phone 9,ANDROID,1.0.16
DEV_0010,iPhone 15 10,IOS,1.0.16
DEV_0011,Chrome Web 11,WEB,1.0.16
DEV_0012,Android TV 12,TV,1.0.16
DEV_0013,Android Phone 13,ANDROID,1.0.16
DEV_0014,iPhone 15 14,IOS,1.0.16
DEV_0015,Chrome Web 15,WEB,1.0.16
DEV_0016,Android TV 16,TV,1.0.16
DEV_0017,Android Phone 17,ANDROID,1.0.16
DEV_0018,iPhone 15 18,IOS,1.0.16
DEV_0019,Chrome Web 19,WEB,1.0.16
DEV_0020,Android TV 20,TV,1.0.16
DEV_0021,Android Phone 21,ANDROID,1.0.16
DEV_0022,iPhone 15 22,IOS,1.0.16
DEV_0023,Chrome Web 23,WEB,1.0.16
DEV_0024,Android TV 24,TV,1.0.16
DEV_0025,Android Phone 25,ANDROID,1.0.16
DEV_0026,iPhone 15 26,IOS,1.0.16
DEV_0027,Chrome Web 27,WEB,1.0.16
DEV_0028,Android TV 28,TV,1.0.16
DEV_0029,Android Phone 29,ANDROID,1.0.16
DEV_0030,iPhone 15 30,IOS,1.0.16
DEV_0031,Chrome Web 31,WEB,1.0.16
DEV_0032,Android TV 32,TV,1.0.16
DEV_0033,Android Phone 33,ANDROID,1.0.16
DEV_0034,iPhone 15 34,IOS,1.0.16
DEV_0035,Chrome Web 35,WEB,1.0.16
DEV_0036,Android TV 36,TV,1.0.16
DEV_0037,Android Phone 37,ANDROID,1.0.16
DEV_0038,iPhone 15 38,IOS,1.0.16
DEV_0039,Chrome Web 39,WEB,1.0.16
DEV_0040,Android TV 40,TV,1.0.16
DEV_0041,Android Phone 41,ANDROID,1.0.16
DEV_0042,iPhone 15 42,IOS,1.0.16
DEV_0043,Chrome Web 43,WEB,1.0.16
DEV_0044,Android TV 44,TV,1.0.16
DEV_0045,Android Phone 45,ANDROID,1.0.16
DEV_0046,iPhone 15 46,IOS,1.0.16
DEV_0047,Chrome Web 47,WEB,1.0.16
DEV_0048,Android TV 48,TV,1.0.16
DEV_0049,Android Phone 49,ANDROID,1.0.16
DEV_0050,iPhone 15 50,IOS,1.0.16
